FICO,ADVANCE,APR,Monthly72
550,60,0.105408451,0.018403516
560,60,0.102958417,0.018295101
570,60,0.100508384,0.018186821
580,60,0.09805835,0.018078678
590,60,0.095071081,0.017947009
600,60,0.091546576,0.017791933
610,60,0.088022071,0.017637157
620,60,0.084497566,0.017482688
630,60,0.080973061,0.017328532
640,60,0.077448556,0.017174695
650,60,0.073924051,0.017021186
660,60,0.07120463,0.016902969
670,60,0.068485209,0.016784953
680,60,0.065765789,0.016667143
690,60,0.063046368,0.01654954
700,60,0.060326948,0.016432148
710,60,0.057607527,0.016314971
720,60,0.056024771,0.016246871
730,60,0.054442015,0.016178845
740,60,0.052859259,0.016110894
550,65,0.118584507,0.018988785
560,65,0.113357981,0.018756189
570,65,0.108131455,0.018524166
580,65,0.10290493,0.018292736
590,65,0.098263389,0.018087723
600,65,0.094206832,0.017908956
610,65,0.090150276,0.01773058
620,65,0.08609372,0.017552604
630,65,0.082037163,0.01737504
640,65,0.077980607,0.017197897
650,65,0.073924051,0.017021186
660,65,0.07120463,0.016902969
670,65,0.068485209,0.016784953
680,65,0.065765789,0.016667143
690,65,0.063046368,0.01654954
700,65,0.060326948,0.016432148
710,65,0.057607527,0.016314971
720,65,0.056024771,0.016246871
730,65,0.054442015,0.016178845
740,65,0.052859259,0.016110894
550,70,0.131760563,0.019577563
560,70,0.123757545,0.019219544
570,70,0.115754527,0.018862773
580,70,0.107751509,0.018507322
590,70,0.101455696,0.018228672
600,70,0.096867089,0.018026146
610,70,0.092278481,0.017824112
620,70,0.087689873,0.017622585
630,70,0.083101266,0.017421578
640,70,0.078512658,0.017221107
650,70,0.073924051,0.017021186
660,70,0.07120463,0.016902969
670,70,0.068485209,0.016784953
680,70,0.065765789,0.016667143
690,70,0.063046368,0.01654954
700,70,0.060326948,0.016432148
710,70,0.057607527,0.016314971
720,70,0.056024771,0.016246871
730,70,0.054442015,0.016178845
740,70,0.052859259,0.016110894
550,75,0.14493662,0.02016953
560,75,0.134157109,0.019685006
570,75,0.123377599,0.019202578
580,75,0.112598089,0.018722419
590,75,0.104648004,0.018369852
600,75,0.099527345,0.018143502
610,75,0.094406686,0.017917754
620,75,0.089286027,0.017692628
630,75,0.084165368,0.017468145
640,75,0.07904471,0.017244324
650,75,0.073924051,0.017021186
660,75,0.07120463,0.016902969
670,75,0.068485209,0.016784953
680,75,0.065765789,0.016667143
690,75,0.063046368,0.01654954
700,75,0.060326948,0.016432148
710,75,0.057607527,0.016314971
720,75,0.056024771,0.016246871
730,75,0.054442015,0.016178845
740,75,0.052859259,0.016110894
550,80,0.158112676,0.020764376
560,80,0.144556673,0.020152419
570,80,0.131000671,0.019543517
580,80,0.117444668,0.018938011
590,80,0.107840312,0.018511259
600,80,0.102187601,0.01826102
610,80,0.096534891,0.018011503
620,80,0.090882181,0.017762734
630,80,0.085229471,0.01751474
640,80,0.079576761,0.017267548
650,80,0.073924051,0.017021186
660,80,0.07120463,0.016902969
670,80,0.068485209,0.016784953
680,80,0.065765789,0.016667143
690,80,0.063046368,0.01654954
700,80,0.060326948,0.016432148
710,80,0.057607527,0.016314971
720,80,0.056024771,0.016246871
730,80,0.054442015,0.016178845
740,80,0.052859259,0.016110894
550,85,0.177876761,0.021661384
560,85,0.162626258,0.020968753
570,85,0.147375755,0.020279439
580,85,0.132125252,0.019593906
590,85,0.121083414,0.01910019
600,85,0.114250243,0.018795858
610,85,0.107417072,0.018492498
620,85,0.100583901,0.018190156
630,85,0.09375073,0.01788888
640,85,0.086917559,0.017588716
650,85,0.080084388,0.017289713
660,85,0.076818307,0.017147221
670,85,0.073552227,0.01700501
680,85,0.070286146,0.016863086
690,85,0.067020065,0.016721455
700,85,0.063753984,0.016580121
710,85,0.060487903,0.01643909
720,85,0.059046256,0.016376937
730,85,0.05760461,0.016314845
740,85,0.056162963,0.016252814
