ZIP5,Income,FICO3byIncome,ST2,ST2offset,FICO3
01001,56663,700,MA,4,704
01002,49853,695,MA,4,699
01003,28462,679,MA,4,683
01005,75423,714,MA,4,718
01007,79076,717,MA,4,721
01008,63980,706,MA,4,710
01009,51452,696,MA,4,700
01010,75625,714,MA,4,718
01011,63476,705,MA,4,709
01012,58750,702,MA,4,706
01013,36578,685,MA,4,689
01020,50058,695,MA,4,699
01022,50440,695,MA,4,699
01026,60320,703,MA,4,707
01027,58573,702,MA,4,706
01028,80252,718,MA,4,722
01029,62955,705,MA,4,709
01030,71106,711,MA,4,715
01031,61250,704,MA,4,708
01032,67692,708,MA,4,712
01034,63980,706,MA,4,710
01035,69911,710,MA,4,714
01036,78869,717,MA,4,721
01037,61250,704,MA,4,708
01038,53939,698,MA,4,702
01039,66284,707,MA,4,711
01040,35549,684,MA,4,688
01050,62097,704,MA,4,708
01053,60477,703,MA,4,707
01054,67831,708,MA,4,712
01056,63318,705,MA,4,709
01057,73254,713,MA,4,717
01060,48069,694,MA,4,698
01062,60686,703,MA,4,707
01063,40694,688,MA,4,692
01066,53939,698,MA,4,702
01068,77396,716,MA,4,720
01069,50345,695,MA,4,699
01070,60320,703,MA,4,707
01071,63980,706,MA,4,710
01072,67831,708,MA,4,712
01073,80738,718,MA,4,722
01074,75423,714,MA,4,718
01075,63053,705,MA,4,709
01077,73645,713,MA,4,717
01079,51452,696,MA,4,700
01080,50100,695,MA,4,699
01081,65917,707,MA,4,711
01082,51936,697,MA,4,701
01083,55030,699,MA,4,703
01084,58750,702,MA,4,706
01085,57598,701,MA,4,705
01086,93611,728,MA,4,732
01088,53939,698,MA,4,702
01089,53711,698,MA,4,702
01092,55030,699,MA,4,703
01093,59722,702,MA,4,706
01094,61250,704,MA,4,708
01095,89486,725,MA,4,729
01096,66148,707,MA,4,711
01097,63980,706,MA,4,710
01098,60320,703,MA,4,707
01103,16963,670,MA,4,674
01104,35380,684,MA,4,688
01105,17756,671,MA,4,675
01106,91889,726,MA,4,730
01107,23557,675,MA,4,679
01108,37411,686,MA,4,690
01109,34638,684,MA,4,688
01118,55853,699,MA,4,704
01119,45184,692,MA,4,696
01128,63177,705,MA,4,709
01129,58704,702,MA,4,706
01151,34175,683,MA,4,687
01199,48306,694,MA,4,698
01201,46765,693,MA,4,697
01220,38379,686,MA,4,690
01222,47145,693,MA,4,697
01223,48478,694,MA,4,698
01224,66458,707,MA,4,711
01225,57419,701,MA,4,705
01226,57505,701,MA,4,705
01229,55096,699,MA,4,703
01230,53584,698,MA,4,702
01235,63877,705,MA,4,710
01236,55718,699,MA,4,703
01237,69659,710,MA,4,714
01238,51053,696,MA,4,700
01240,60458,703,MA,4,707
01242,60604,703,MA,4,707
01243,60320,703,MA,4,707
01244,57917,701,MA,4,705
01245,63152,705,MA,4,709
01247,38405,686,MA,4,690
01253,62955,705,MA,4,709
01254,79145,717,MA,4,721
01255,62955,705,MA,4,709
01256,54167,698,MA,4,702
01257,47145,693,MA,4,697
01258,55764,699,MA,4,703
01259,57917,701,MA,4,705
01260,53297,698,MA,4,702
01262,55096,699,MA,4,703
01264,63250,705,MA,4,709
01266,64328,706,MA,4,710
01267,69925,710,MA,4,714
01270,70662,711,MA,4,715
01301,47833,693,MA,4,698
01330,70326,710,MA,4,714
01331,49110,694,MA,4,698
01337,57550,701,MA,4,705
01338,56596,700,MA,4,704
01339,6531,663,MA,4,667
01341,70326,710,MA,4,714
01342,61912,704,MA,4,708
01343,54167,698,MA,4,702
01344,54836,699,MA,4,703
01347,50189,695,MA,4,699
01349,51401,696,MA,4,700
01351,50189,695,MA,4,699
01354,57550,701,MA,4,705
01355,67831,708,MA,4,712
01360,70606,711,MA,4,715
01364,44676,691,MA,4,695
01366,68374,709,MA,4,713
01368,61950,704,MA,4,708
01370,53003,697,MA,4,701
01373,61438,704,MA,4,708
01375,59722,702,MA,4,706
01376,36099,685,MA,4,689
01378,54836,699,MA,4,703
01379,54836,699,MA,4,703
01420,48606,694,MA,4,698
01430,79875,717,MA,4,721
01431,80143,718,MA,4,722
01432,55863,699,MA,4,704
01434,119016,747,MA,4,751
01436,66138,707,MA,4,711
01438,66138,707,MA,4,711
01440,51232,696,MA,4,700
01450,123278,750,MA,4,754
01451,141274,763,MA,4,767
01452,82443,719,MA,4,723
01453,57280,701,MA,4,705
01460,103751,735,MA,4,739
01462,84911,721,MA,4,725
01463,85403,722,MA,4,726
01464,72598,712,MA,4,716
01467,141274,763,MA,4,767
01468,66138,707,MA,4,711
01469,78502,716,MA,4,720
01473,79073,717,MA,4,721
01474,78207,716,MA,4,720
01475,56274,700,MA,4,704
01501,70683,711,MA,4,715
01503,92917,727,MA,4,731
01504,74067,713,MA,4,717
01505,88214,724,MA,4,728
01506,60189,703,MA,4,707
01507,86561,722,MA,4,726
01510,57957,701,MA,4,705
01515,71964,712,MA,4,716
01516,86214,722,MA,4,726
01518,72983,712,MA,4,716
01519,105605,737,MA,4,741
01520,92166,727,MA,4,731
01521,65917,707,MA,4,711
01522,82165,719,MA,4,723
01523,80938,718,MA,4,722
01524,74316,713,MA,4,717
01525,89583,725,MA,4,729
01527,68319,709,MA,4,713
01529,77250,715,MA,4,720
01531,61250,704,MA,4,708
01532,103271,735,MA,4,739
01534,76675,715,MA,4,719
01535,57196,700,MA,4,705
01536,89347,725,MA,4,729
01537,68664,709,MA,4,713
01540,62079,704,MA,4,708
01541,102853,735,MA,4,739
01542,67172,708,MA,4,712
01543,81295,719,MA,4,723
01545,88643,724,MA,4,728
01550,48195,694,MA,4,698
01560,68854,709,MA,4,713
01561,80938,718,MA,4,722
01562,65184,706,MA,4,710
01564,102115,734,MA,4,738
01566,72387,712,MA,4,716
01568,107950,738,MA,4,742
01569,80536,718,MA,4,722
01570,50142,695,MA,4,699
01571,64228,706,MA,4,710
01581,101876,734,MA,4,738
01583,79865,717,MA,4,721
01585,60376,703,MA,4,707
01588,67286,708,MA,4,712
01590,104730,736,MA,4,740
01602,61861,704,MA,4,708
01603,37454,686,MA,4,690
01604,47438,693,MA,4,697
01605,41023,688,MA,4,692
01606,57646,701,MA,4,705
01607,47987,694,MA,4,698
01608,26526,678,MA,4,682
01609,44501,691,MA,4,695
01610,21388,674,MA,4,678
01611,63333,705,MA,4,709
01612,100358,733,MA,4,737
01701,92018,727,MA,4,731
01702,53081,697,MA,4,701
01718,84559,721,MA,4,725
01719,102222,734,MA,4,738
01720,110534,740,MA,4,744
01721,91904,726,MA,4,730
01730,107033,738,MA,4,742
01731,77369,716,MA,4,720
01740,125741,752,MA,4,756
01741,155000,774,MA,4,778
01742,119902,747,MA,4,751
01745,114761,744,MA,4,748
01746,101901,734,MA,4,738
01747,97227,730,MA,4,734
01748,121182,748,MA,4,752
01749,76500,715,MA,4,719
01752,71835,711,MA,4,715
01754,76228,715,MA,4,719
01756,102625,734,MA,4,738
01757,68565,709,MA,4,713
01760,90673,726,MA,4,730
01770,145250,766,MA,4,770
01772,141459,764,MA,4,768
01773,143771,765,MA,4,769
01775,117440,746,MA,4,750
01776,152789,772,MA,4,776
01778,140652,763,MA,4,767
01801,71805,711,MA,4,715
01803,90659,726,MA,4,730
01810,113874,743,MA,4,747
01821,87745,723,MA,4,727
01824,99032,732,MA,4,736
01826,71731,711,MA,4,715
01827,113594,743,MA,4,747
01830,63388,705,MA,4,709
01832,57959,701,MA,4,705
01833,97895,731,MA,4,735
01834,84232,721,MA,4,725
01835,76253,715,MA,4,719
01840,18507,672,MA,4,676
01841,34128,683,MA,4,687
01843,42587,690,MA,4,694
01844,66023,707,MA,4,711
01845,99505,732,MA,4,736
01850,54087,698,MA,4,702
01851,51795,696,MA,4,700
01852,55089,699,MA,4,703
01854,44616,691,MA,4,695
01860,75517,714,MA,4,718
01862,86304,722,MA,4,726
01863,77458,716,MA,4,720
01864,97574,731,MA,4,735
01867,103358,735,MA,4,739
01876,83976,721,MA,4,725
01879,92239,727,MA,4,731
01880,89830,725,MA,4,729
01886,123906,750,MA,4,754
01887,97107,730,MA,4,734
01890,128546,754,MA,4,758
01901,18257,671,MA,4,675
01902,38107,686,MA,4,690
01904,69263,710,MA,4,714
01905,42449,689,MA,4,693
01906,69051,709,MA,4,713
01907,90516,725,MA,4,729
01913,73843,713,MA,4,717
01915,71363,711,MA,4,715
01921,143045,765,MA,4,769
01922,91052,726,MA,4,730
01923,76695,715,MA,4,719
01929,76989,715,MA,4,719
01930,63047,705,MA,4,709
01938,82395,719,MA,4,723
01940,90677,726,MA,4,730
01944,105000,736,MA,4,740
01945,95942,729,MA,4,733
01949,87728,723,MA,4,727
01950,76313,715,MA,4,719
01951,91052,726,MA,4,730
01952,62924,705,MA,4,709
01960,67119,708,MA,4,712
01966,73676,713,MA,4,717
01969,74911,714,MA,4,718
01970,57313,701,MA,4,705
01982,97491,731,MA,4,735
01983,115015,744,MA,4,748
01984,132697,757,MA,4,761
01985,111739,741,MA,4,745
02019,77420,716,MA,4,720
02021,88829,724,MA,4,728
02025,114214,743,MA,4,747
02026,85131,721,MA,4,725
02030,164583,781,MA,4,785
02032,77708,716,MA,4,720
02035,94994,729,MA,4,733
02038,92042,727,MA,4,731
02043,99910,732,MA,4,736
02045,70039,710,MA,4,714
02047,75170,714,MA,4,718
02048,93593,728,MA,4,732
02050,85395,722,MA,4,726
02052,123176,750,MA,4,754
02053,100950,733,MA,4,737
02054,85472,722,MA,4,726
02056,111767,741,MA,4,745
02061,106730,738,MA,4,742
02062,72935,712,MA,4,716
02066,92394,727,MA,4,731
02067,117828,746,MA,4,750
02071,91781,726,MA,4,730
02072,69340,710,MA,4,714
02081,92954,727,MA,4,731
02090,116083,745,MA,4,749
02093,94524,728,MA,4,732
02108,96033,730,MA,4,734
02109,92310,727,MA,4,731
02110,102972,735,MA,4,739
02111,31442,681,MA,4,685
02113,60386,703,MA,4,707
02114,69809,710,MA,4,714
02115,30282,680,MA,4,684
02116,80153,718,MA,4,722
02118,51368,696,MA,4,700
02119,36316,685,MA,4,689
02120,28794,679,MA,4,683
02121,28897,679,MA,4,683
02122,45859,692,MA,4,696
02124,43598,690,MA,4,694
02125,44266,691,MA,4,695
02126,51733,696,MA,4,700
02127,64285,706,MA,4,710
02128,42613,690,MA,4,694
02129,80223,718,MA,4,722
02130,69576,710,MA,4,714
02131,62945,705,MA,4,709
02132,76802,715,MA,4,719
02134,33863,683,MA,4,687
02135,52714,697,MA,4,701
02136,54410,698,MA,4,702
02138,68127,709,MA,4,713
02139,62821,705,MA,4,709
02140,65283,707,MA,4,711
02141,57909,701,MA,4,705
02142,61141,703,MA,4,707
02143,64966,706,MA,4,710
02144,68004,709,MA,4,713
02145,50718,696,MA,4,700
02148,55890,700,MA,4,704
02149,49696,695,MA,4,699
02150,40344,688,MA,4,692
02151,51723,696,MA,4,700
02152,68218,709,MA,4,713
02155,69803,710,MA,4,714
02163,23429,675,MA,4,679
02169,56647,700,MA,4,704
02170,64309,706,MA,4,710
02171,66808,708,MA,4,712
02176,85681,722,MA,4,726
