VIN,YEAR,MAKE,Model,Body,Trim,ModelNumber,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,SellingPrice,MSRP,BookValue,Invoice,DateInStock,Description,DealerZip,Ext_Color_Generic,Int_Color_Generic,Int_Upholstery,Engine_Block_Type,Engine_Aspiration_Type,Engine_Description,Transmission_Speed,Transmission_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity,ExtColorHexCode,EngineDisplacementCubicInches
1FTSS3ES7DDA48091,2013,Ford,Econoline Cargo Van,Full-size Cargo Van,,S3E,3,Black,,10,6.8L,Automatic,0,39525,39525,0,35840,41334,6.8L EFI V10 ENGINEELEC 5-SPD AOD W/TOW-HAUL4.10 LIMITED SLIP AXLE XC2PREMIUM VAN GROUPCOMMERCIAL CARGO VAN PACKAGEBACK UP CAMERAVINYL,10583,Black,,,V,Electronic Fuel Injection,Gas V10 6.8L/415,4,4-Speed Automatic,RWD,Gasoline Fuel,10,14,2,0,415
1FTSS3ES1DDA51634,2013,Ford,Econoline Cargo Van,Full-size Cargo Van,,S3E,3,Blue,,10,6.8L,Automatic,0,39660,39660,0,35953,41338,6.8L EFI V10 ENGINEELEC 5-SPD AOD W/TOW-HAUL4.10 LIMITED SLIP AXLE XC2PREMIUM VAN GROUPCOMMERCIAL CARGO VAN PACKAGEBACK UP CAMERAVINYL,10583,,,,V,Electronic Fuel Injection,Gas V10 6.8L/415,4,4-Speed Automatic,RWD,Gasoline Fuel,10,14,2,,415
SCA681L50DUX72018,2013,Rolls-Royce,Phantom,4dr Car,EWB,FK03,4,,,12,6.7L,Automatic,115,525520,525520,0,478730,41277,,91105,,,,V,Direct Injection,Gas V12 6.7L/412,8,8-Speed Automatic,RWD,Gasoline Fuel,11,18,5,,412
3C7WDTCL0CG283718,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,White,,6,6.7L,Automatic,88,47785,47785,41725,43004,41176,,77037,White,,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,,408
3C63DRKL9CG262071,2012,Ram,3500,Crew Cab Pickup,Laramie Longhorn,D28R92,4,Bright White,,6,6.7L,Automatic,182,65000,65000,58709,59225,41197,,77037,White,,,I,Direct Injection,Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDTCLXCG317471,2012,Ram,3500,Crew Cab Chassis-Cab,ST,DD8L93,4,White,,6,6.7L,Automatic,0,48245,48245,42131,43424,41219,,77037,White,,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,,408
3C6UD5MLXCG327519,2012,Ram,2500,Crew Cab Pickup,SLT,DJ7H81,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,6,50695,50695,44956,46327,41227,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C6UD5HL3CG333561,2012,Ram,2500,Crew Cab Pickup,ST,DJ7L92,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,2812,48110,48110,42589,43782,41239,,77037,White,Gray,,V,Direct Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,4WD,Diesel Fuel,,,6,FFFFFF,408
3C7WDKBL5CG327675,2012,Ram,4500,Regular Cab Chassis-Cab,ST,DP4L64,2,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,88,45345,45345,40003,41239,41243,,77037,White,Gray,,I,Electronic Fuel Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,RWD,Diesel Fuel,,,3,FFFFFF,408
3C7WDKFL7CG327672,2012,Ram,4500,Crew Cab Chassis-Cab,ST,DP4L94,4,Bright White,Dark Slate/Medium Graystone Interior,6,6.7L,Automatic,25,48785,48785,43421,44285,41243,,77037,White,Gray,,I,Electronic Fuel Injection,Turbocharged Diesel I6 6.7L/408,6,6-Speed Automatic,RWD,Diesel Fuel,,,6,FFFFFF,408
