Make_Raw,Model_Raw,Make_STD,Model_STD
Acura,CL,ACURA,CL
Acura,MDX,ACURA,MDX
Acura,RDX,ACURA,RDX
Acura,RL,ACURA,RL
Acura,TL,ACURA,TL
Acura,TSX,ACURA,TSX
Acura,TSX Sport Wagon,ACURA,TSX
Acura,ZDX,ACURA,ZDX
Aston Martin,Vantage,ASTON MARTIN,VANTAGE
Audi,A3,AUDI,A3
Audi,A4,AUDI,A4
Audi,A5,AUDI,A5
Audi,A6,AUDI,A6
Audi,A7,AUDI,A7
Audi,A8,AUDI,A8
Audi,A8 L,AUDI,A8 L
Audi,allroad,AUDI,ALLROAD
Audi,Q5,AUDI,Q5
Audi,Q7,AUDI,Q7
Audi,R8,AUDI,R8
Audi,RS 5,AUDI,RS 5
Audi,S4,AUDI,S4
Audi,S5,AUDI,S5
Audi,S6,AUDI,S6
Audi,S7,AUDI,S7
Audi,S8,AUDI,S8
Audi,TT,AUDI,TT
Audi,TT RS,AUDI,TT RS
Bentley,CONTGT,BENTLEY,CONTINENTAL GT
Bentley,Continental,BENTLEY,CONTINENTAL
Bentley,Continental Flying Spur,BENTLEY,CONTINENTAL FLYING SPUR
Bentley,Continental GT,BENTLEY,CONTINENTAL GT
Bentley,Continental GT V8,BENTLEY,CONTINENTAL GT V8
Bentley,Continental GTC,BENTLEY,CONTINENTAL GTC
Bentley,Continental Supersports,BENTLEY,CONTINENTAL SUPERSPORTS
BMW,1 Series,BMW,1 SERIES
BMW,3 Series,BMW,3 SERIES
BMW,5 Series,BMW,5 SERIES
BMW,5 Series Gran Turismo,BMW,5 SERIES
BMW,6 Series,BMW,6 SERIES
BMW,7 Series,BMW,7 SERIES
BMW,M3,BMW,M3
BMW,M5,BMW,M5
BMW,M6,BMW,M6
BMW,X1,BMW,X1
BMW,X3,BMW,X3
BMW,X5,BMW,X5
BMW,X5 M,BMW,X5
BMW,X6,BMW,X6
BMW,Z3,BMW,Z3
BMW,Z4,BMW,Z4
Buick,Century,BUICK,CENTURY
Buick,Enclave,BUICK,ENCLAVE
Buick,Encore,BUICK,ENCORE
Buick,LaCrosse,BUICK,LACROSSE
Buick,LeSabre,BUICK,LESABRE
Buick,Lucerne,BUICK,LUCERNE
Buick,Rainier,BUICK,RAINIER
Buick,Regal,BUICK,REGAL
Buick,Rendezvous,BUICK,RENDEZVOUS
BUICK,T TYPE REGAL,BUICK,REGAL
Buick,Terraza,BUICK,TERRAZA
Buick,Verano,BUICK,VERANO
Cadillac,ATS,CADILLAC,ATS
Cadillac,Brougham,CADILLAC,BROUGHAM
Cadillac,CTS,CADILLAC,CTS
Cadillac,CTS Coupe,CADILLAC,CTS
Cadillac,CTS Sedan,CADILLAC,CTS
Cadillac,CTS-V,CADILLAC,CTSV
Cadillac,CTS-V Coupe,CADILLAC,CTSV
Cadillac,CTS-V Wagon,CADILLAC,CTSV
Cadillac,DeVille,CADILLAC,DEVILLE
Cadillac,DTS,CADILLAC,DTS
Cadillac,Escalade,CADILLAC,ESCALADE
Cadillac,Escalade ESV,CADILLAC,ESCALADE
Cadillac,ESCALADE EXT,CADILLAC,ESCALADE
Cadillac,SRX,CADILLAC,SRX
Cadillac,STS,CADILLAC,STS
Cadillac,XLR,CADILLAC,XLR
Cadillac,XTS,CADILLAC,XTS
Chervrolet,Corvette,CHEVROLET,CORVETTE
Chevrolet,Avalanche,CHEVROLET,AVALANCHE
Chevrolet,Aveo,CHEVROLET,AVEO
Chevrolet,Blazer,CHEVROLET,BLAZER
Chevrolet,C3500,CHEVROLET,C3500
Chevrolet,Camaro,CHEVROLET,CAMARO
Chevrolet,Captiva Sport,CHEVROLET,CAPTIVA
Chevrolet,Captiva Sport Fleet,CHEVROLET,CAPTIVA
Chevrolet,Cavalier,CHEVROLET,CAVALIER
Chevrolet,Chevy Van,CHEVROLET,CHEVY VAN
Chevrolet,Classic,CHEVROLET,CLASSIC
Chevrolet,Cobalt,CHEVROLET,COBALT
Chevrolet,Colorado,CHEVROLET,COLORADO
Chevrolet,Corsica,CHEVROLET,CORSICA
Chevrolet,CORVETTE,CHEVROLET,CORVETTE
Chevrolet,Corvette Z16 Grand Sport w/3LT,CHEVROLET,CORVETTE
Chevrolet,Cruze,CHEVROLET,CRUZE
Chevrolet,Equinox,CHEVROLET,EQUINOX
Chevrolet,Express Cargo Van,CHEVROLET,EXPRESS
Chevrolet,Express Passenger,CHEVROLET,EXPRESS
Chevrolet,G10,CHEVROLET,G10
Chevrolet,HHR,CHEVROLET,HHR
Chevrolet,Impala,CHEVROLET,IMPALA
Chevrolet,Lumina,CHEVROLET,LUMINA
Chevrolet,Malibu,CHEVROLET,MALIBU
Chevrolet,Malibu Classic,CHEVROLET,MALIBU
Chevrolet,Malibu Maxx,CHEVROLET,MALIBU
Chevrolet,Monte Carlo,CHEVROLET,MONTE CARLO
Chevrolet,New Tahoe,CHEVROLET,TAHOE
Chevrolet,S-10,CHEVROLET,S10
Chevrolet,Silverado 1500,CHEVROLET,SILVERADO 1500
Chevrolet,Silverado 1500 Classic,CHEVROLET,SILVERADO 1500
Chevrolet,Silverado 2500HD,CHEVROLET,SILVERADO 2500
Chevrolet,Silverado 2500HD Classic,CHEVROLET,SILVERADO 2500
Chevrolet,Silverado 3500,CHEVROLET,SILVERADO 3500
Chevrolet,Silverado 3500HD,CHEVROLET,SILVERADO 3500
Chevrolet,Silverado1500,CHEVROLET,SILVERADO1500
Chevrolet,Sonic,CHEVROLET,SONIC
Chevrolet,Spark,CHEVROLET,SPARK
Chevrolet,Suburban,CHEVROLET,SUBURBAN
Chevrolet,TAH,CHEVROLET,TAHOE
Chevrolet,Tahoe,CHEVROLET,TAHOE
Chevrolet,TrailBlazer,CHEVROLET,TRAILBLAZER
Chevrolet,Traverse,CHEVROLET,TRAVERSE
Chevrolet,Uplander,CHEVROLET,UPLANDER
Chevrolet,Venture,CHEVROLET,VENTURE
Chevrolet,Volt,CHEVROLET,VOLT
Chrysler,200,CHRYSLER,200
Chrysler,300,CHRYSLER,300
Chrysler,Aspen,CHRYSLER,ASPEN
CHRYSLER,INTREPID,CHRYSLER,INTREPID
Chrysler,Pacifica,CHRYSLER,PACIFICA
Chrysler,PT Cruiser,CHRYSLER,PT CRUISER
Chrysler,PT Cruiser Classic,CHRYSLER,PT CRUISER
Chrysler,Sebring,CHRYSLER,SEBRING
Chrysler,Sebring Sdn,CHRYSLER,SEBRING
Chrysler,Town & Country,CHRYSLER,TOWN & COUNTRY
Chrysler,Town & Country LWB,CHRYSLER,TOWN & COUNTRY
Chrysler,Town & Country SWB,CHRYSLER,TOWN & COUNTRY
Dodge,Avenger,DODGE,AVENGER
Dodge,Caliber,DODGE,CALIBER
Dodge,Caravan,DODGE,CARAVAN
Dodge,Challenger,DODGE,CHALLENGER
Dodge,Charger,DODGE,CHARGER
Dodge,Dakota,DODGE,DAKOTA
Dodge,Dart,DODGE,DART
Dodge,Durango,DODGE,DURANGO
Dodge,Grand Caravan,DODGE,GRAND CARAVAN
Dodge,Journey,DODGE,JOURNEY
Dodge,Neon,DODGE,NEON
Dodge,Nitro,DODGE,NITRO
Dodge,Ram 1500,DODGE,RAM 1500
Dodge,Ram 2500,DODGE,RAM 2500
Dodge,Ram 3500,DODGE,RAM 3500
Dodge,Ram BR3500,DODGE,RAM BR3500
Dodge,Ram SRT-10,DODGE,RAM SRT10
Dodge,Stratus,DODGE,STRATUS
Dodge,Stratus Sdn,DODGE,STRATUS
