Trim_Raw,Trim_STD
,
2,2
2.5,2.5
3,3
3.2,3.2
3.8,3.8
4,4
250,250
330,330
2500,2500
- ROUSH STAGE 1 - V6,- ROUSH STAGE 1 - V6
!,!
(DEMO),
+,+
1.8 Base,1.8 BASE
1.8 S,1.8 S
1.8 S Hatchback,1.8 S HB
1.8 SL,1.8 SL
1.8 SL Hatchback,1.8 SL HB
1.8L,1.8L
128i,128I
128i Convertible,128I CONV
128i Coupe,128I COUPE
135i,135I
135i Convertible,135I CONV
1LT,1LT
1SS,1SS
2 DR,2DR
2.0 S,2.0 S
2.0 SL,2.0 SL
2.0 SR,2.0 SR
2.0i,2.0I
2.0i Limited,2.0I LIM
2.0i Premium,2.0I PREM
2.0i Sport Limited,2.0I SPT LIM
2.0i Sport Premium,2.0I SPT PREM
2.0L Premium,2.0L PREM
2.0L Premium Coupe Quattro,2.0L PREM COUPE QUATTRO
2.0L Premium Plus,2.0L PREM +S
2.0L TDI,2.0L TDI
2.0L TDI w/Sound/Nav,2.0L TDI
2.0L TDI w/Sun,2.0L TDI
2.0T,2.0T
2.0T Convertible Quattro,2.0T CONV QUATTRO
2.0T Prem Plus,2.0T PREM +S
2.0T Premium,2.0T PREM
2.0T Premium  Plus,2.0T PREM +S
2.0T Premium Plus,2.0T PREM +S
2.0T Premium Plus Coupe Quattro,2.0T PREM +S COUPE QUATTRO
2.0T Premium Quattro,2.0T PREM QUATTRO
2.0T Prestige,2.0T PRESTIGE
2.0T SE Convertible,2.0T SE CONV
2.0T Sport,2.0T SPT
2.0T Sport w/Saddle Int,2.0T SPT
2.0T Turbo,2.0T TURBO
2.0T Turbo w/Sun/Sound,2.0T TURBO
2.0XT Premium,2.0XT PREM
2.0XT Touring,2.0XT TOURING
2.4L,2.4L
2.4L w/Sunroof,2.4L
2.4T A SR 5DR WGN,2.4T A SR 5DR WGN
2.5 S,2.5 S
2.5 SL,2.5 SL
2.5i,2.5I
2.5i AWD,2.5I AWD
2.5i Limited,2.5I LIM
2.5i Ltd,2.5I LTD
2.5i Prem,2.5I PREM
2.5i Prem AWP,2.5I PREM AWP
2.5i Prem AWP/Pwr Moon,2.5I PREM AWP
2.5i Premium,2.5I PREM
2.5i Touring,2.5I TOURING
2.5L,2.5L
2.5L Fender Edition,2.5L FENDER
2.5L PZEV,2.5L PZEV
2.5L Turbo,2.5L TURBO
2.5L Turbo Awd,2.5L TURBO AWD
2.5L Turbo Nav,2.5L TURBO NAV
2.5L w/Sound/Nav,2.5L
2.5L w/Sun,2.5L
