NUMBER,STD_MAKE,STD_MODEL,STD_TRIM,COUNT_NEW,COUNT_ALL, PCT_NEW , CUM_PCT_NEW 
1,FORD,F150,XLT,481,520, 0.046295 , 0.046295 
2,CHEVROLET,SILVERADO 1500,LT,373,431, 0.035900 , 0.082194 
3,FORD,FOCUS,SE,159,188, 0.015303 , 0.097498 
4,CHEVROLET,CRUZE,1LT,157,157, 0.015111 , 0.112608 
5,FORD,F150,LARIAT,136,152, 0.013090 , 0.125698 
6,RAM,1500,TRADESMAN,136,136, 0.013090 , 0.138787 
7,FORD,ESCAPE,SE,135,140, 0.012993 , 0.151781 
8,FORD,FUSION,SE,133,169, 0.012801 , 0.164581 
9,VOLVO,S60,,123,128, 0.011838 , 0.176420 
10,VOLVO,XC60,,110,110, 0.010587 , 0.187007 
11,FORD,ECONOLINE,,100,107, 0.009625 , 0.196631 
12,FORD,TRANSIT CONNECT,XLT,99,100, 0.009528 , 0.206160 
13,MERCEDES-BENZ,C,,97,103, 0.009336 , 0.215496 
14,CHEVROLET,EQUINOX,LS,96,107, 0.009240 , 0.224735 
15,RAM,1500,EXPRESS,90,91, 0.008662 , 0.233397 
16,VOLVO,S60,T5,89,97, 0.008566 , 0.241963 
17,CHEVROLET,EQUINOX,LT,87,100, 0.008373 , 0.250337 
18,FORD,F150,FX2,86,86, 0.008277 , 0.258614 
19,FORD,F150,PLATINUM,85,93, 0.008181 , 0.266795 
20,CHEVROLET,SILVERADO 1500,WORK TRUCK,81,88, 0.007796 , 0.274591 
21,RAM,2500,TRADESMAN,80,80, 0.007700 , 0.282291 
22,CHEVROLET,CRUZE,LS,78,79, 0.007507 , 0.289798 
23,FORD,EDGE,SEL,78,94, 0.007507 , 0.297305 
24,RAM,1500,,77,82, 0.007411 , 0.304716 
25,DODGE,AVENGER,SE,76,83, 0.007315 , 0.312031 
26,CHEVROLET,MALIBU,LT,75,105, 0.007218 , 0.319249 
27,RAM,1500,SLT,75,86, 0.007218 , 0.326468 
28,BMW,5 SERIES,528I,72,95, 0.006930 , 0.333397 
29,FORD,EXPEDITION,LIM,68,76, 0.006545 , 0.339942 
30,FORD,F150,FX4,68,71, 0.006545 , 0.346487 
31,MAZDA,MAZDA3,I TOURING,66,70, 0.006352 , 0.352839 
32,BMW,3 SERIES,328I,65,151, 0.006256 , 0.359095 
33,FORD,F150,STX,64,67, 0.006160 , 0.365255 
34,CHEVROLET,SILVERADO 2500,WORK TRUCK,63,63, 0.006064 , 0.371319 
35,FORD,EXPEDITION,XLT,63,73, 0.006064 , 0.377382 
36,FORD,F150,XL,61,68, 0.005871 , 0.383253 
37,FORD,F250,LARIAT,60,68, 0.005775 , 0.389028 
38,FORD,F250,XL,59,61, 0.005679 , 0.394706 
39,FORD,EDGE,LIM,56,76, 0.005390 , 0.400096 
40,FORD,F150,KING RANCH,55,62, 0.005294 , 0.405390 
41,CHEVROLET,IMPALA,LT,54,69, 0.005197 , 0.410587 
42,CHEVROLET,TAHOE,LTZ,54,60, 0.005197 , 0.415784 
43,CHEVROLET,TRAVERSE,LT,54,65, 0.005197 , 0.420982 
44,FORD,FIESTA,SE,54,61, 0.005197 , 0.426179 
45,CHEVROLET,CAMARO,SS,53,53, 0.005101 , 0.431280 
46,RAM,2500,,53,55, 0.005101 , 0.436381 
47,CHEVROLET,SONIC,LT,52,59, 0.005005 , 0.441386 
48,GMC,SIERRA 1500,SLE,52,65, 0.005005 , 0.446391 
49,FORD,MUSTANG,V6,51,65, 0.004909 , 0.451299 
50,CHEVROLET,SILVERADO 2500,LT,50,54, 0.004812 , 0.456112 
51,CHRYSLER,200,TOURING,50,58, 0.004812 , 0.460924 
52,SUBARU,OUTBACK,2.5I PREM,50,63, 0.004812 , 0.465736 
53,CHEVROLET,CAMARO,LT,48,48, 0.004620 , 0.470356 
54,TOYOTA,CAMRY,SE,48,59, 0.004620 , 0.474976 
55,FORD,EXPLORER,XLT,47,73, 0.004524 , 0.479500 
56,FORD,EDGE,SE,46,53, 0.004427 , 0.483927 
57,HYUNDAI,ELANTRA,,45,47, 0.004331 , 0.488258 
58,FORD,F150,,44,91, 0.004235 , 0.492493 
59,CHEVROLET,TAHOE,LT,43,54, 0.004139 , 0.496631 
60,FORD,F250,KING RANCH,43,43, 0.004139 , 0.500770 
61,FORD,MUSTANG,GT PREM,41,48, 0.003946 , 0.504716 
62,CHEVROLET,MALIBU,LS,39,59, 0.003754 , 0.508470 
63,JEEP,GRAND CHEROKEE,LAREDO,39,49, 0.003754 , 0.512223 
64,JEEP,GRAND CHEROKEE,LIM,39,43, 0.003754 , 0.515977 
65,RAM,1500,LONE STAR,39,39, 0.003754 , 0.519731 
66,AUDI,A4,PREM,37,53, 0.003561 , 0.523292 
67,CHEVROLET,TAHOE,LS,37,43, 0.003561 , 0.526853 
68,FORD,EXPEDITION,KING RANCH,37,39, 0.003561 , 0.530414 
69,FORD,F150,XLT 4X4,37,38, 0.003561 , 0.533975 
70,VOLVO,XC90,,37,43, 0.003561 , 0.537536 
71,CHEVROLET,SILVERADO 1500,LTZ,35,43, 0.003369 , 0.540905 
72,DODGE,CHARGER,SE,35,54, 0.003369 , 0.544273 
73,FORD,FOCUS,TITANIUM,35,36, 0.003369 , 0.547642 
74,SUBARU,OUTBACK,2.5I LIM,35,38, 0.003369 , 0.551011 
75,CHEVROLET,CAMARO,LS,34,34, 0.003272 , 0.554283 
76,FORD,F250,XLT,34,36, 0.003272 , 0.557555 
77,FORD,F350,LARIAT,34,36, 0.003272 , 0.560828 
78,CHEVROLET,MALIBU,ECO,33,35, 0.003176 , 0.564004 
79,MERCEDES-BENZ,E,E350,33,47, 0.003176 , 0.567180 
80,TOYOTA,CAMRY,LE,33,103, 0.003176 , 0.570356 
81,BMW,5 SERIES,535I,32,50, 0.003080 , 0.573436 
82,VOLKSWAGEN,JETTA,SE,31,45, 0.002984 , 0.576420 
83,CHEVROLET,TRAVERSE,LS,30,31, 0.002887 , 0.579307 
84,FORD,F350,XLT,30,31, 0.002887 , 0.582194 
85,LAND ROVER,RANGE ROVER SPORT,HSE,30,34, 0.002887 , 0.585082 
86,RAM,3500,ST,30,31, 0.002887 , 0.587969 
87,FORD,MUSTANG,V6 PREM,29,37, 0.002791 , 0.590760 
88,BMW,X5,35I PREM,28,29, 0.002695 , 0.593455 
89,FORD,ESCAPE,SEL,28,36, 0.002695 , 0.596150 
90,FORD,TAURUS,SEL,28,37, 0.002695 , 0.598845 
91,RAM,2500,LARAMIE LONGHORN,28,29, 0.002695 , 0.601540 
92,JAGUAR,XF,I4 RWD,27,30, 0.002599 , 0.604139 
93,MAZDA,MAZDA3,I SV,27,27, 0.002599 , 0.606737 
94,DODGE,GRAND CARAVAN,SE,26,31, 0.002502 , 0.609240 
95,LAND ROVER,RANGE ROVER SPORT,HSE LUX,26,26, 0.002502 , 0.611742 
96,MAZDA,MAZDA3,I SPT,26,34, 0.002502 , 0.614244 
97,VOLVO,S80,,26,27, 0.002502 , 0.616747 
98,DODGE,AVENGER,SXT,25,36, 0.002406 , 0.619153 
99,FORD,MUSTANG,GT,25,40, 0.002406 , 0.621559 
100,FORD,MUSTANG,,25,35, 0.002406 , 0.623965 
101,GMC,SIERRA 2500,SLT,25,25, 0.002406 , 0.626372 
102,TOYOTA,PRIUS,WARNER BROS,25,27, 0.002406 , 0.628778 
103,CHRYSLER,300,,24,25, 0.002310 , 0.631088 
104,DODGE,DART,SE,24,24, 0.002310 , 0.633397 
105,DODGE,DART,SXT,24,24, 0.002310 , 0.635707 
106,TOYOTA,PRIUS,V6 PREM,24,25, 0.002310 , 0.638017 
107,VOLKSWAGEN,JETTA,TDI,24,31, 0.002310 , 0.640327 
108,DODGE,CHALLENGER,,23,24, 0.002214 , 0.642541 
109,FORD,EXPLORER,LIM,23,36, 0.002214 , 0.644755 
