ZIP,Income,FICO3byIncome,ST2offset,FICO3,city,state,latitude,longitude,timezone,dst,Tax
00210,66657.66203,715,7.431383907,715,Portsmouth,NH,43.005895,-71.013202,-5,1,0
00211,66657.66203,715,7.431383907,715,Portsmouth,NH,43.005895,-71.013202,-5,1,0
00212,66657.66203,715,7.431383907,715,Portsmouth,NH,43.005895,-71.013202,-5,1,0
00213,66657.66203,715,7.431383907,715,Portsmouth,NH,43.005895,-71.013202,-5,1,0
00214,66657.66203,715,7.431383907,715,Portsmouth,NH,43.005895,-71.013202,-5,1,0
00215,66657.66203,715,7.431383907,715,Portsmouth,NH,43.005895,-71.013202,-5,1,0
00501,61114.79391,704,0.578057472,704,Holtsville,NY,40.922326,-72.637078,-5,1,0.08625
00544,61114.79391,704,0.578057472,704,Holtsville,NY,40.922326,-72.637078,-5,1,0.08625
00601,21377.54815,671,-2.694122433,671,Adjuntas,PR,18.180103,-66.74947,-4,0,0.115
00602,21377.54815,671,-2.694122433,671,Aguada,PR,18.363285,-67.18024,-4,0,0.115
00603,21377.54815,671,-2.694122433,671,Aguadilla,PR,18.448619,-67.13422,-4,0,0.115
00604,21377.54815,671,-2.694122433,671,Aguadilla,PR,18.498987,-67.13699,-4,0,0.115
00605,21377.54815,671,-2.694122433,671,Aguadilla,PR,18.465162,-67.141486,-4,0,0.115
00606,21377.54815,671,-2.694122433,671,Maricao,PR,18.182151,-66.9588,-4,0,0.115
00607,21377.54815,671,-2.694122433,671,Aguas Buenas,PR,18.256995,-66.104657,-4,0,0.115
00609,21377.54815,671,-2.694122433,671,Aibonito,PR,18.142002,-66.273278,-4,0,0.115
00610,21377.54815,671,-2.694122433,671,Anasco,PR,18.288319,-67.13604,-4,0,0.115
00611,21377.54815,671,-2.694122433,671,Angeles,PR,18.279531,-66.80217,-4,0,0.115
00612,21377.54815,671,-2.694122433,671,Arecibo,PR,18.449732,-66.69879,-4,0,0.115
00613,21377.54815,671,-2.694122433,671,Arecibo,PR,18.458093,-66.732732,-4,0,0.115
00614,21377.54815,671,-2.694122433,671,Arecibo,PR,18.429675,-66.674506,-4,0,0.115
00615,21377.54815,671,-2.694122433,671,Arroyo,PR,17.96977,-66.061459,-4,0,0.115
00616,21377.54815,671,-2.694122433,671,Bajadero,PR,18.426748,-66.67669,-4,0,0.115
00617,21377.54815,671,-2.694122433,671,Barceloneta,PR,18.455499,-66.55575,-4,0,0.115
00618,21377.54815,671,-2.694122433,671,Barranquitas,PR,18.185463,-66.305827,-4,0,0.115
00622,21377.54815,671,-2.694122433,671,Boqueron,PR,18.003125,-67.16745,-4,0,0.115
00623,21377.54815,671,-2.694122433,671,Cabo Rojo,PR,18.08643,-67.15222,-4,0,0.115
00624,21377.54815,671,-2.694122433,671,Penuelas,PR,18.055399,-66.72602,-4,0,0.115
00625,21377.54815,671,-2.694122433,671,Caguas,PR,18.232109,-66.039087,-4,0,0.115
00626,21377.54815,671,-2.694122433,671,Caguas,PR,18.235003,-66.037318,-4,0,0.115
00627,21377.54815,671,-2.694122433,671,Camuy,PR,18.435246,-66.85644,-4,0,0.115
00631,21377.54815,671,-2.694122433,671,Castaner,PR,18.186739,-66.85174,-4,0,0.115
00633,21377.54815,671,-2.694122433,671,Cayey,PR,18.194527,-66.183467,-4,0,0.115
00634,21377.54815,671,-2.694122433,671,Cayey,PR,18.111528,-66.177083,-4,0,0.115
00635,21377.54815,671,-2.694122433,671,Ceiba,PR,18.262902,-65.646529,-4,0,0.115
00636,21377.54815,671,-2.694122433,671,Rosario,PR,18.113284,-67.039706,-4,0,0.115
00637,21377.54815,671,-2.694122433,671,Sabana Grande,PR,18.073078,-66.94864,-4,0,0.115
00638,21377.54815,671,-2.694122433,671,Ciales,PR,18.308139,-66.49835,-4,0,0.115
00639,21377.54815,671,-2.694122433,671,Cidra,PR,18.176094,-66.158728,-4,0,0.115
00640,21377.54815,671,-2.694122433,671,Coamo,PR,18.077197,-66.359104,-4,0,0.115
00641,21377.54815,671,-2.694122433,671,Utuado,PR,18.268896,-66.70519,-4,0,0.115
00643,21377.54815,671,-2.694122433,671,Corozal,PR,18.341254,-66.315194,-4,0,0.115
00644,21377.54815,671,-2.694122433,671,Coto Laurel,PR,18.049577,-66.55218,-4,0,0.115
00645,21377.54815,671,-2.694122433,671,Culebra,PR,18.308508,-65.304732,-4,0,0.115
00646,21377.54815,671,-2.694122433,671,Dorado,PR,18.442798,-66.27689,-4,0,0.115
00647,21377.54815,671,-2.694122433,671,Ensenada,PR,17.964529,-66.93993,-4,0,0.115
00648,21377.54815,671,-2.694122433,671,Fajardo,PR,18.333038,-65.656182,-4,0,0.115
00650,21377.54815,671,-2.694122433,671,Florida,PR,18.363331,-66.56773,-4,0,0.115
00652,21377.54815,671,-2.694122433,671,Garrochales,PR,18.457453,-66.61217,-4,0,0.115
00653,21377.54815,671,-2.694122433,671,Guanica,PR,17.992112,-66.90097,-4,0,0.115
00654,21377.54815,671,-2.694122433,671,Jobos,PR,17.979518,-66.117219,-4,0,0.115
00655,21377.54815,671,-2.694122433,671,Olimpo,PR,17.976371,-66.116795,-4,0,0.115
00656,21377.54815,671,-2.694122433,671,Guayanilla,PR,18.038866,-66.79168,-4,0,0.115
00658,21377.54815,671,-2.694122433,671,Gurabo,PR,18.254137,-65.973605,-4,0,0.115
00659,21377.54815,671,-2.694122433,671,Hatillo,PR,18.432956,-66.80039,-4,0,0.115
00660,21377.54815,671,-2.694122433,671,Hormigueros,PR,18.139108,-67.12085,-4,0,0.115
00661,21377.54815,671,-2.694122433,671,Humacao,PR,18.150829,-65.826595,-4,0,0.115
00662,21377.54815,671,-2.694122433,671,Isabela,PR,18.478855,-67.01973,-4,0,0.115
00664,21377.54815,671,-2.694122433,671,Jayuya,PR,18.212565,-66.59243,-4,0,0.115
00665,21377.54815,671,-2.694122433,671,Ponce,PR,18.044224,-66.502103,-4,0,0.115
00666,21377.54815,671,-2.694122433,671,Juncos,PR,18.228952,-65.921356,-4,0,0.115
00667,21377.54815,671,-2.694122433,671,Lajas,PR,18.017819,-67.04226,-4,0,0.115
00669,21377.54815,671,-2.694122433,671,Lares,PR,18.288418,-66.87503,-4,0,0.115
00670,21377.54815,671,-2.694122433,671,Las Marias,PR,18.241343,-66.97604,-4,0,0.115
00671,21377.54815,671,-2.694122433,671,Las Piedras,PR,18.1789,-65.869939,-4,0,0.115
00674,21377.54815,671,-2.694122433,671,Manati,PR,18.426137,-66.48697,-4,0,0.115
00676,21377.54815,671,-2.694122433,671,Moca,PR,18.37956,-67.08424,-4,0,0.115
00677,21377.54815,671,-2.694122433,671,Rincon,PR,18.336121,-67.23675,-4,0,0.115
00678,21377.54815,671,-2.694122433,671,Quebradillas,PR,18.442334,-66.93275,-4,0,0.115
00680,21377.54815,671,-2.694122433,671,Mayaguez,PR,18.205232,-67.12655,-4,0,0.115
00681,21377.54815,671,-2.694122433,671,Mayaguez,PR,18.219023,-67.508068,-4,0,0.115
00682,21377.54815,671,-2.694122433,671,Mayaguez,PR,18.208402,-67.15428,-4,0,0.115
